logical_group_id,partition,test_domain,class_index,class_name,support,precision,recall,f1
ablation_channels__direction_size__cnn1d,combined,outer,9,SoftwareUpdate,737,0.790159189580318,0.740841248303935,0.764705882352941
ablation_channels__direction_size__cnn1d,combined,outer,10,System,1230,0.851388888888889,0.996747967479675,0.918352059925094
ablation_channels__direction_size__cnn1d,combined,outer,11,Unspecified,5680,0.929754139488209,0.978697183098592,0.953598078737456
ablation_channels__direction_size__cnn1d,combined,outer,12,VoIP,1569,0.448479480366106,0.968132568514978,0.612994350282486
ablation_channels__direction_size__cnn1d,combined,outer,13,Web,110690,0.99054083811238,0.934691480711898,0.961806088156959
ablation_channels__direction_size__transformer,combined,inner,0,Chat,3985,0.648118134341797,0.903136762860728,0.754665548332984
ablation_channels__direction_size__transformer,combined,inner,1,Cloud,5778,0.760625444207534,0.926098996192454,0.835245453835948
ablation_channels__direction_size__transformer,combined,inner,2,Collaborative,6632,0.421551472732575,0.87183353437877,0.568311381954
ablation_channels__direction_size__transformer,combined,inner,3,ConnCheck,281,0.76123595505618,0.9644128113879,0.850863422291994
ablation_channels__direction_size__transformer,combined,inner,4,Database,327,0.494470774091627,0.957186544342508,0.652083333333333
ablation_channels__direction_size__transformer,combined,inner,5,Download,651,0.513250883392226,0.89247311827957,0.651710600112171
ablation_channels__direction_size__transformer,combined,inner,6,Email,391,0.700374531835206,0.956521739130435,0.808648648648649
ablation_channels__direction_size__transformer,combined,inner,7,Network,84447,0.999197324414716,0.97290608310538,0.985876451953537
ablation_channels__direction_size__transformer,combined,inner,8,SocialNetwork,3883,0.852295860665008,0.9703837239248,0.907514450867052
ablation_channels__direction_size__transformer,combined,inner,9,SoftwareUpdate,737,0.467935165609584,0.900949796472185,0.61595547309833
ablation_channels__direction_size__transformer,combined,inner,10,System,1230,0.908284023668639,0.998373983739837,0.951200619674671
ablation_channels__direction_size__transformer,combined,inner,11,Unspecified,5680,0.933378424078458,0.971830985915493,0.952216663791616
ablation_channels__direction_size__transformer,combined,inner,12,VoIP,1569,0.391135303265941,0.961759082217973,0.556108347153123
ablation_channels__direction_size__transformer,combined,inner,13,Web,110690,0.991226193023753,0.878778570783269,0.931621516786944
ablation_channels__direction_size__transformer,combined,outer,0,Chat,3985,0.58201189296333,0.589460476787955,0.585712504675228
ablation_channels__direction_size__transformer,combined,outer,1,Cloud,5778,0.686165788744109,0.856697819314642,0.762007389162562
ablation_channels__direction_size__transformer,combined,outer,2,Collaborative,6632,0.596306068601583,0.613389626055489,0.604727218671027
ablation_channels__direction_size__transformer,combined,outer,3,ConnCheck,281,0.264501160092807,0.811387900355872,0.398950131233596
ablation_channels__direction_size__transformer,combined,outer,4,Database,327,0.618577075098814,0.957186544342508,0.751500600240096
ablation_channels__direction_size__transformer,combined,outer,5,Download,651,0.5625,0.483870967741935,0.520231213872832
ablation_channels__direction_size__transformer,combined,outer,6,Email,391,0.324468085106383,0.936061381074169,0.481895984200132
ablation_channels__direction_size__transformer,combined,outer,7,Network,84447,0.998070453196121,0.955534240411145,0.976339272210291
ablation_channels__direction_size__transformer,combined,outer,8,SocialNetwork,3883,0.739685070759418,0.955704352304919,0.833932584269663
ablation_channels__direction_size__transformer,combined,outer,9,SoftwareUpdate,737,0.369385884509624,0.546811397557666,0.440919037199125
ablation_channels__direction_size__transformer,combined,outer,10,System,1230,0.713953488372093,0.998373983739837,0.832542372881356
ablation_channels__direction_size__transformer,combined,outer,11,Unspecified,5680,0.762513904338153,0.965492957746479,0.85208203853325
ablation_channels__direction_size__transformer,combined,outer,12,VoIP,1569,0.253585974853905,0.912683237731039,0.39689578713969
ablation_channels__direction_size__transformer,combined,outer,13,Web,110690,0.976186340917424,0.913994037401753,0.944067037437946
ablation_channels__direction_timing__cnn1d,combined,inner,0,Chat,3985,0.681374321880651,0.945545796737767,0.792012611665791
ablation_channels__direction_timing__cnn1d,combined,inner,1,Cloud,5778,0.822305953278071,0.944271374177916,0.879078385563522
ablation_channels__direction_timing__cnn1d,combined,inner,2,Collaborative,6632,0.432129514321295,0.784831121833534,0.557370027306313
ablation_channels__direction_timing__cnn1d,combined,inner,3,ConnCheck,281,0.482041587901701,0.907473309608541,0.62962962962963
ablation_channels__direction_timing__cnn1d,combined,inner,4,Database,327,0.95679012345679,0.948012232415902,0.952380952380952
ablation_channels__direction_timing__cnn1d,combined,inner,5,Download,651,0.565531475748194,0.841781874039939,0.676543209876543
ablation_channels__direction_timing__cnn1d,combined,inner,6,Email,391,0.73046875,0.956521739130435,0.828349944629014
ablation_channels__direction_timing__cnn1d,combined,inner,7,Network,84447,0.997057320088971,0.8546188733762,0.920359625071734
ablation_channels__direction_timing__cnn1d,combined,inner,8,SocialNetwork,3883,0.898192197906755,0.972443986608293,0.93384444169655
ablation_channels__direction_timing__cnn1d,combined,inner,9,SoftwareUpdate,737,0.61317254174397,0.896879240162822,0.728374655647383
ablation_channels__direction_timing__cnn1d,combined,inner,10,System,1230,0.0799550340757395,0.92520325203252,0.147190066610619
ablation_channels__direction_timing__cnn1d,combined,inner,11,Unspecified,5680,0.858819745939862,0.940316901408451,0.897722497688881
