logical_group_id,representation,model,train_session,test_session,metric,replicates,inner_estimate,inner_ci_low,inner_ci_high,outer_estimate,outer_ci_low,outer_ci_high,gap_estimate,gap_ci_low,gap_ci_high
cross_session__prefix_stats__xgboost,prefix_stats,xgboost,1,2,balanced_accuracy,1000,0.851072337981009,0.840929106275489,0.859158533672083,0.69155422120551,0.680027577278596,0.701656745450292,-0.159518116775499,-0.167876778727336,-0.15102591286454
cross_session__prefix_stats__xgboost,prefix_stats,xgboost,1,2,macro_f1,1000,0.822114916395469,0.813607612366062,0.828710772764089,0.683153781839346,0.672716701559264,0.69130590818512,-0.138961134556123,-0.146382371479003,-0.131957502774491
cross_session__prefix_stats__xgboost,prefix_stats,xgboost,2,1,balanced_accuracy,1000,0.83872148270633,0.829412154269893,0.847156198726665,0.671332292983641,0.66189838614886,0.680994795749976,-0.167389189722689,-0.175870949767294,-0.158290158058322
cross_session__prefix_stats__xgboost,prefix_stats,xgboost,2,1,macro_f1,1000,0.84607017182856,0.838523478872512,0.85265472694764,0.683561316931365,0.67389958010869,0.692796847961085,-0.162508854897195,-0.170934293187803,-0.154165491065253
cross_session__sequential_splt__cnn1d,sequential_splt,cnn1d,1,2,balanced_accuracy,1000,0.91362843045181,0.906571458935464,0.92039560330899,0.906234197037074,0.899152880583945,0.912813449413566,-0.007394233414736,-0.010021559179394,-0.00485379594862511
cross_session__sequential_splt__cnn1d,sequential_splt,cnn1d,1,2,macro_f1,1000,0.830967513718013,0.822742712015465,0.838461329611897,0.811649812135657,0.803394240678565,0.819199046436501,-0.0193177015823557,-0.0228420043416257,-0.0156634851839847
cross_session__sequential_splt__cnn1d,sequential_splt,cnn1d,2,1,balanced_accuracy,1000,0.90253473768323,0.895529085067275,0.90989742195224,0.898331284164242,0.891321294491045,0.906151484552065,-0.0042034535189881,-0.00728804721224112,-0.00105608799902388
cross_session__sequential_splt__cnn1d,sequential_splt,cnn1d,2,1,macro_f1,1000,0.831134748893912,0.824121132646046,0.837736959290141,0.787933815126291,0.780509229591095,0.795989904113927,-0.0432009337676209,-0.0478184713653468,-0.0382526878879208
cross_session__sequential_splt__lstm,sequential_splt,lstm,1,2,balanced_accuracy,1000,0.905642748549356,0.897938894232933,0.912881918287596,0.840291132932933,0.832417469548828,0.848371276925751,-0.0653516156164229,-0.0707674434641985,-0.0599972831152773
cross_session__sequential_splt__lstm,sequential_splt,lstm,1,2,macro_f1,1000,0.821111701362969,0.811972902102021,0.829309051531303,0.738099563823429,0.730116807202731,0.745895013196061,-0.0830121375395396,-0.0894040810393166,-0.0762960156015705
cross_session__sequential_splt__lstm,sequential_splt,lstm,2,1,balanced_accuracy,1000,0.893139148666236,0.885742663060897,0.900511124155317,0.826501249344567,0.818101725383887,0.834301657188091,-0.0666378993216682,-0.0737148997220546,-0.0595003691015951
cross_session__sequential_splt__lstm,sequential_splt,lstm,2,1,macro_f1,1000,0.815088996515277,0.807744851502235,0.821908220706629,0.750251681079909,0.742249210303679,0.75781105669428,-0.0648373154353676,-0.0711745457677556,-0.0583989933993904
cross_session__sequential_splt__transformer,sequential_splt,transformer,1,2,balanced_accuracy,1000,0.899350467778529,0.892147477664791,0.907061050762995,0.858588111849049,0.850273423788814,0.866927897324385,-0.0407623559294794,-0.0463571806711976,-0.0356890055530137
cross_session__sequential_splt__transformer,sequential_splt,transformer,1,2,macro_f1,1000,0.785862174971104,0.777590268507463,0.79334378726338,0.744958964503064,0.735640778118943,0.752995535845012,-0.0409032104680405,-0.0469197157321388,-0.0347818393468873
cross_session__sequential_splt__transformer,sequential_splt,transformer,2,1,balanced_accuracy,1000,0.865538434397,0.858097979282963,0.872929152458077,0.802930555301746,0.795472219744023,0.810606291122237,-0.0626078790952544,-0.0685184531077621,-0.056602935486615
cross_session__sequential_splt__transformer,sequential_splt,transformer,2,1,macro_f1,1000,0.681799932232629,0.674548347190861,0.689408026494458,0.666400862212247,0.6584757145736,0.674100845410977,-0.0153990700203823,-0.0209334643380595,-0.0103352846604121
